source_platform,source_url,project_name,chain_or_vm,language,finding_id_or_title,severity_raw,severity_normalized,bug_family,attack_chain_stage,root_cause_type,exploit_prerequisites,fix_pattern,report_date,public_disclosure_date
code4rena,https://code4rena.com/reports/2022-05-bunker,Bunker,EVM,Solidity,,H=0;M=24;L=0;NC=0;G=0,medium,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-cally,Cally,EVM,Solidity,,H=18;M=60;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-cudos,Cudos,EVM,Solidity,,H=0;M=36;L=0;NC=0;G=0,medium,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-factorydao,Factorydao,EVM,Solidity,,H=18;M=126;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-opensea-seaport,Opensea Seaport,EVM,Solidity,,H=12;M=12;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-rubicon,Rubicon,EVM,Solidity,,H=60;M=204;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-runes,Runes,EVM,Solidity,,H=0;M=36;L=0;NC=0;G=0,medium,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-sturdy,Sturdy,EVM,Solidity,,H=12;M=36;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-velodrome,Velodrome,EVM,Solidity,,H=36;M=102;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-vetoken,Vetoken,EVM,Solidity,,H=6;M=180;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-06-badger,Badger,EVM,Solidity,,H=12;M=18;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-canto,Canto,EVM,Solidity,,H=84;M=72;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-canto-v2,Canto V2,EVM,Solidity,,H=48;M=36;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-connext,Connext,EVM,Solidity,,H=36;M=120;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-illuminate,Illuminate,EVM,Solidity,,H=96;M=78;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-infinity,Infinity,EVM,Solidity,,H=66;M=54;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-nested,Nested,EVM,Solidity,,H=0;M=6;L=0;NC=0;G=0,medium,,,,,,2022-06-01,2022-06-01
